City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,moss point,30.4116,-88.5345,32.03,84,0,1.54,US,1691718673
326,constantia,44.1833,28.65,20.39,63,97,6.76,RO,1691718673
327,genhe,50.7833,121.5167,20.68,64,100,2.13,CN,1691718673
328,matoury,4.8483,-52.3317,24.98,94,52,0.0,GF,1691718673
329,kayangel,8.0823,134.7173,27.89,82,100,8.98,PW,1691718673
330,sabang,5.8933,95.3214,27.92,77,60,5.51,ID,1691718673
331,tongouson,5.0214,120.1328,29.22,67,82,4.12,PH,1691718674
332,crane,31.3974,-102.3501,36.52,19,44,3.25,US,1691718674
333,san borja,-14.8167,-66.85,26.13,59,26,1.11,BO,1691718674
334,pariaman,-0.619,100.12,28.03,81,92,1.78,ID,1691718674
335,banda,25.4833,80.3333,28.05,69,99,4.79,IN,1691718559
336,indramayu,-6.3264,108.32,27.14,51,44,3.98,ID,1691718674
337,kish,26.5578,54.0194,32.15,84,46,2.06,IR,1691718674
338,grand baie,-20.0182,57.5802,20.81,78,15,2.84,MU,1691718674
339,wenshui,28.4506,106.5267,27.21,72,26,1.65,CN,1691718674
340,orchomenos,38.4929,22.9796,19.99,75,41,1.5,GR,1691718674
341,south suffolk,36.7171,-76.5902,25.94,88,0,2.57,US,1691718674
342,horsham,51.064,-0.3272,19.24,83,0,2.06,GB,1691718674
343,kombissiri,12.0656,-1.3375,24.99,97,95,2.91,BF,1691718675
344,togur,58.3631,82.8265,11.83,95,100,2.95,RU,1691718675
345,kardzhali,41.65,25.3667,15.84,85,9,2.22,BG,1691718675
346,kingston,17.997,-76.7936,26.25,96,58,0.45,JM,1691717884
347,salinopolis,-0.6136,-47.3561,25.75,85,13,4.2,BR,1691718675
348,akureyri,65.6835,-18.0878,6.96,87,100,1.54,IS,1691718079
349,dunedin,-45.8742,170.5036,8.93,54,99,0.49,NZ,1691718635
350,matane,48.8286,-67.522,12.35,95,59,3.43,CA,1691718675
351,milngavie,55.9407,-4.3231,18.81,81,75,1.54,GB,1691718675
352,port shepstone,-30.7414,30.455,16.11,87,4,6.4,ZA,1691718676
353,envira,-7.3,-70.2167,24.68,74,35,0.9,BR,1691718676
354,moussoro,13.6408,16.4901,28.01,69,24,3.53,TD,1691718676
355,san matias,-16.3667,-58.4,27.84,27,0,2.67,BO,1691718676
356,tulchyn,48.6745,28.8464,11.07,89,9,3.39,UA,1691718676
357,selfoss,63.9331,-20.9971,13.36,86,60,4.18,IS,1691718676
358,constitucion,-35.3333,-72.4167,9.43,87,100,1.81,CL,1691718178
359,sur,22.5667,59.5289,29.3,63,98,3.0,OM,1691718676
360,vittel,48.2009,5.9484,16.9,82,0,1.54,FR,1691718676
361,luanda,-8.8368,13.2343,20.0,94,0,3.09,AO,1691718676
362,holualoa,19.6228,-155.9522,25.91,78,75,4.63,US,1691718676
363,rongelap,11.1635,166.8941,28.29,74,100,5.97,MH,1691718677
